PDQ,Arrondissement
1,Baie-DUrfe_Beaconsfield_Kirkland_Sainte-Anne-de-Bellevue_Senneville
3,Lile-Bizard_Pierrefonds_Sainte-Genevieve_Roxboro
4,Dollard-Des_Ormeaux
5,Dorval_Lile-Dorval_Pointe-Claire
7,Saint-Laurent
8,Lachine_Saint-Pierre
9,Cote_Saint-Luc_Hampstead_Montreal-Ouest
10,Bordeaux_Cartierville
11,Notre-Dame-de-Grace
12,Ville-Marie_Ouest_Westmount
13,LaSalle
15,Saint-Paul_Petite-Bourgogne_Pointe-Saint-Charles_Saint-Henri_Ville-emard
16,ile-des-Soeurs_Verdun
20,Centre-ville_Ville-Marie_Ouest_parc_du_Mont-Royal
21,Centre-ville_Ville-Marie_Est_ile_Notre-Dame_ile_Sainte-Helene_Vieux-Montreal
22,Centre-Sud
23,Hochelaga-Maisonneuve
24,Outremont
26,Cote-des-Neiges_Mont-Royal_Outremont
27,Ahuntsic
30,Saint-Michel
31,Villeray
33,Parc-Extension
35,La_Petite-Italie_La_Petite-Patrie_Outremont_3_rues
38,Le_Plateau-Mont-Royal
39,Arrondissement_de_Montreal-Nord
42,Saint-Leonard
44,Rosemont_-_La_Petite-Patrie
45,Riviere-des-Prairies
46,Anjou
48,Arrondissement_de_Mercier-Hochelaga-Maisonneuve
49,Ville_de_Montreal-Est_Pointe-aux-Trembles
50,Metro_de_Montreal
50,Metro_de_Montreal
55,Aeroport_international_Pierre-Elliott-Trudeau_de_Montreal
